station_name,link,longitude,latitude
Möhringen-Espenbrücke DE,/results/DE20_HYDRO?symbol%5Bh%5D=h,8.77661,47.95859
Hundersingen DE,/results/DE5_HYDRO?symbol%5Bh%5D=h,9.39609,48.07245
Berg DE,/results/DE6_HYDRO?symbol%5Bh%5D=h,9.73145,48.26640
Neu-Ulm Bad Held_Donau DE,/results/DE10026301?symbol%5Bh%5D=h,9.98670,48.38930
Guenzburg uh Guenz DE,/results/DE10032009?symbol%5Bh%5D=h,10.28360,48.46550
Dillingen DE,/results/DE10035801_HYDRO?symbol%5Bh%5D=h,10.49870,48.56820
Donauwoerth DE,/results/DE10039802_HYDRO?symbol%5Bh%5D=h,10.80150,48.71090
Neuburg DE,/results/DE10043708_HYDRO?symbol%5Bh%5D=h,11.17800,48.73910
Ingolstadt Luitpoldstrasse DE,/results/DE10046105_HYDRO?symbol%5Bh%5D=h,11.42600,48.75740
Kelheim DE,/results/DE10053009_HYDRO?symbol%5Bh%5D=h,11.86460,48.91650
Oberndorf DE,/results/DE10056302_HYDRO?symbol%5Bh%5D=h,12.01490,48.94700
Regensburg Eiserne Bruecke DE,/results/DE10061007_HYDRO?symbol%5Bh%5D=h,12.10170,49.02140
Schwabelweis DE,/results/DE10062000_HYDRO?symbol%5Bh%5D=h,12.13870,49.02360
Pfatter DE,/results/DE10068006_HYDRO?symbol%5Bh%5D=h,12.38380,48.98040
Straubing DE,/results/DE10074009_HYDRO?symbol%5Bh%5D=h,12.57400,48.88640
Pfelling DE,/results/DE10078000_HYDRO?symbol%5Bh%5D=h,12.74720,48.87980
Deggendorf_Donau DE,/results/DE10081004_HYDRO?symbol%5Bh%5D=h,12.96230,48.82510
Hofkirchen DE,/results/DE10088003_HYDRO?symbol%5Bh%5D=h,13.11520,48.67660
Vilshofen DE,/results/DE10089006_HYDRO?symbol%5Bh%5D=h,13.18250,48.63730
Passau_Donau DE,/results/DE10091008_HYDRO?symbol%5Bh%5D=h,13.45870,48.57610
Passau Ilzstadt DE,/results/DE10092000_HYDRO?symbol%5Bh%5D=h,13.47800,48.57520
Achleiten AT,/results/AT207019_HYDRO?symbol%5Bh%5D=h,13.50410,48.58260
Kienstock AT,/results/AT207357_HYDRO?symbol%5Bh%5D=h,15.46368,48.38284
Korneuburg AT,/results/AT207241_HYDRO?symbol%5Bh%5D=h,16.33540,48.32790
Wildungsmauer AT,/results/AT207373_HYDRO?symbol%5Bh%5D=h,16.80680,48.11583
Bratislava Devín SK,/results/SK5127_HYDRO?symbol%5Bh%5D=h,16.97990,48.17142
Thebnerstraßl AT,/results/AT207407_HYDRO?symbol%5Bh%5D=h,16.98496,48.16693
Bratislava SK,/results/SK5140_HYDRO?symbol%5Bh%5D=h,17.10919,48.13961
Rajka HU,/results/HU442020_HYDRO?symbol%5Bh%5D=h,17.24830,48.00450
Doborgaz HU,/results/HU442708_HYDRO?symbol%5Bh%5D=h,17.35240,47.97830
Dunaremete HU,/results/HU442021_HYDRO?symbol%5Bh%5D=h,17.46490,47.88060
Medveďov-most SK,/results/SK5145_HYDRO?symbol%5Bh%5D=h,17.65260,47.79450
Nagybajcs HU,/results/HU442502_HYDRO?symbol%5Bh%5D=h,17.70320,47.76080
Gönyű HU,/results/HU442521_HYDRO?symbol%5Bh%5D=h,17.83640,47.74010
Komárom HU,/results/HU442522_HYDRO?symbol%5Bh%5D=h,18.11450,47.75060
Komárno - most SK,/results/SK6849_HYDRO?symbol%5Bh%5D=h,18.12042,47.75300
Štúrovo SK,/results/SK6880_HYDRO?symbol%5Bh%5D=h,18.72730,47.79700
Esztergom HU,/results/HU442025_HYDRO?symbol%5Bh%5D=h,18.73560,47.79650
Szob HU,/results/HU442625_HYDRO?symbol%5Bh%5D=h,18.86100,47.81610
Nagymaros HU,/results/HU442527_HYDRO?symbol%5Bh%5D=h,18.96210,47.78890
Vác HU,/results/HU442026_HYDRO?symbol%5Bh%5D=h,19.12410,47.78020
Budapest HU,/results/HU442027_HYDRO?symbol%5Bh%5D=h,19.04960,47.49510
Budafok HU,/results/HU442533_HYDRO?symbol%5Bh%5D=h,19.04270,47.41470
Adony HU,/results/HU442535_HYDRO?symbol%5Bh%5D=h,18.88000,47.11480
Tass HU,/results/HU442536_HYDRO?symbol%5Bh%5D=h,18.97770,47.03270
Dunaújváros HU,/results/HU442028_HYDRO?symbol%5Bh%5D=h,18.94810,46.98150
Dunaföldvár HU,/results/HU442029_HYDRO?symbol%5Bh%5D=h,18.93140,46.80960
Paks HU,/results/HU442030_HYDRO?symbol%5Bh%5D=h,18.87030,46.62720
Dombori HU,/results/HU442540_HYDRO?symbol%5Bh%5D=h,18.89670,46.42310
Baja HU,/results/HU442031_HYDRO?symbol%5Bh%5D=h,18.92590,46.17820
Mohács HU,/results/HU442032_HYDRO?symbol%5Bh%5D=h,18.69560,45.99300
Batina HR,/results/HR5170_HYDRO?symbol%5Bh%5D=h,18.85472,45.84578
Bogojevo RS,/results/RS42020_HYDRO?symbol%5Bh%5D=h,19.07903,45.53010
Dalj HR,/results/HR5130_HYDRO?symbol%5Bh%5D=h,18.99486,45.49122
Vukovar HR,/results/HR5070_HYDRO?symbol%5Bh%5D=h,19.00278,45.35456
Novi Sad RS,/results/RS42035_HYDRO?symbol%5Bh%5D=h,19.85523,45.25513
Zemun RS,/results/RS42045_HYDRO?symbol%5Bh%5D=h,20.41213,44.84900
Pančevo RS,/results/RS42050_HYDRO?symbol%5Bh%5D=h,20.63660,44.85280
Smederevo RS,/results/RS42055_HYDRO?symbol%5Bh%5D=h,20.92060,44.66678
Banatska Palanka RS,/results/RS42060_HYDRO?symbol%5Bh%5D=h,21.33940,44.82650
Golubac RS,/results/RS42070_HYDRO?symbol%5Bh%5D=h,21.63120,44.65410
Calafat RO,/results/RO42013_HYDRO?symbol%5Bh%5D=h,22.93100,43.99790
Isaccea RO,/results/RO42055_HYDRO?symbol%5Bh%5D=h,28.45370,45.28900
Bazias RO,/results/RO42001_HYDRO?symbol%5Bh%5D=h,21.38980,44.80900
